DATE,SH50,HS300,ZZ500
2023-08-30,2522.542,3788.51,5775.153
2023-08-31,2510.458,3765.268,5739.398
2023-09-01,2532.254,3791.491,5750.803
2023-09-04,2577.465,3848.952,5829.784
2023-09-05,2561.79,3820.317,5788.715
2023-09-06,2559.357,3812.028,5790.381
2023-09-07,2534.156,3758.475,5702.701
2023-09-08,2519.969,3739.993,5708.623
2023-09-11,2536.171,3767.537,5774.731
2023-09-12,2531.826,3760.605,5770.926
2023-09-13,2524.541,3736.651,5715.397
2023-09-14,2530.979,3733.508,5702.102
2023-09-15,2514.979,3708.777,5704.663
2023-09-18,2531.897,3727.711,5719.689
2023-09-19,2532.279,3720.502,5687.901
2023-09-20,2521.562,3705.69,5651.006
2023-09-21,2495.739,3672.445,5611.919
2023-09-22,2550.983,3738.933,5698.817
2023-09-25,2529.15,3714.604,5666.664
2023-09-26,2513.407,3692.893,5646.654
2023-09-27,2520.14,3700.495,5674.345
2023-09-28,2507.086,3689.517,5690.77
2023-10-09,2499.567,3684.727,5658.083
2023-10-10,2482.535,3657.126,5630.371
2023-10-11,2490.855,3667.548,5629.789
2023-10-12,2514.39,3702.382,5671.642
2023-10-13,2489.125,3663.41,5633.383
2023-10-16,2468.436,3626.597,5580.667
2023-10-17,2478.905,3639.402,5595.342
2023-10-18,2467.192,3610.577,5524.599
2023-10-19,2401.93,3533.545,5464.027
2023-10-20,2389.22,3510.589,5423.675
2023-10-23,2369.935,3474.244,5290.334
2023-10-24,2378.439,3487.13,5352.012
2023-10-25,2386.303,3504.458,5375.998
2023-10-26,2393.734,3514.145,5398.934
2023-10-27,2414.913,3562.385,5492.027
2023-10-30,2414.156,3583.772,5546.388
2023-10-31,2411.479,3572.506,5528.239
2023-11-01,2420.735,3571.027,5509.966
2023-11-02,2417.459,3554.189,5459.452
2023-11-03,2436.941,3584.136,5510.357
2023-11-06,2456.775,3632.608,5605.062
2023-11-07,2443.966,3619.759,5611.098
2023-11-08,2436.698,3611.072,5608.017
2023-11-09,2436.235,3612.826,5592.057
2023-11-10,2414.017,3586.489,5573.1
2023-11-13,2407.589,3579.414,5605.569
2023-11-14,2406.397,3582.058,5630.553
2023-11-15,2427.124,3607.245,5664.617
2023-11-16,2404.319,3572.364,5609.361
2023-11-17,2398.204,3568.069,5631.423
2023-11-20,2404.767,3576.323,5659.773
2023-11-21,2416.241,3581.067,5641.084
2023-11-22,2396.904,3544.416,5572.899
2023-11-23,2405.165,3561.52,5622.989
2023-11-24,2391.021,3538.009,5570.421
2023-11-27,2370.719,3511.942,5566.507
2023-11-28,2371.212,3518.523,5591.496
2023-11-29,2358.116,3488.307,5553.335
2023-11-30,2365.996,3496.203,5545.05
2023-12-01,2352,3482.881,5566.869
2023-12-04,2333.879,3460.138,5559.068
2023-12-05,2286.581,3394.257,5460.409
2023-12-06,2284.064,3399.598,5481.824
2023-12-07,2274.828,3391.282,5481.136
2023-12-08,2281.649,3399.462,5497.99
